epoch,train_loss,val_acc,seconds
1,1.0804309931255522,0.49333333333333335,42.7551007270813
2,1.0470877452123732,0.55,39.95913910865784
3,1.0008442365555537,0.6033333333333334,50.36533999443054
4,0.9511280736469088,0.6533333333333333,47.171530961990356
5,0.90748988480795,0.6733333333333333,38.999104022979736
6,0.8547597198259262,0.65,49.01529622077942
7,0.8135419112160093,0.6766666666666666,69.86422610282898
8,0.7846705653553917,0.6766666666666666,43.52947378158569
9,0.7518370798655919,0.67,39.99098014831543
10,0.7347489422843569,0.6833333333333333,37.91071701049805
