epoch,train_loss,val_acc,seconds
1,1.0836427611396426,0.43666666666666665,49.55211281776428
2,1.0495073620478312,0.55,41.30868697166443
3,1.0063834097271873,0.63,39.98589301109314
4,0.9510861467179798,0.6533333333333333,38.9734468460083
5,0.8917367880684989,0.6766666666666666,45.01243877410889
6,0.8421043140547616,0.68,41.72071385383606
7,0.7939973078455244,0.68,42.16409397125244
8,0.7609630408741179,0.68,39.367507219314575
9,0.7428433227539063,0.69,39.02395796775818
10,0.7236936461357844,0.6866666666666666,39.27588510513306
