epoch,train_loss,val_acc,seconds
1,1.0846963857469105,0.5166666666666667,40.42624592781067
2,1.0507780767622448,0.5366666666666666,39.03212332725525
3,1.0039693097841171,0.6266666666666667,37.94235301017761
4,0.9479575077692668,0.6466666666666666,45.181666135787964
5,0.8961435589336214,0.67,42.19100785255432
6,0.8539712696983701,0.6733333333333333,41.87722611427307
7,0.806645328203837,0.6633333333333333,37.72445607185364
8,0.7781291191918509,0.6833333333333333,38.19570827484131
9,0.7442666569210235,0.69,40.50375509262085
10,0.7266930954796927,0.6733333333333333,41.12720012664795
