seed,model,noise_type,level,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
42,resnet50,blur,0.0,0.715,0.6826666666666666,0.6464646464646465,0.8065268065268065,0.66256225,0.537998
42,resnet50,blur,1.0,0.6766666666666666,0.655,0.5831062670299727,0.7759815242494227,0.52252245,0.47047046
42,resnet50,blur,2.0,0.57,0.4228187919463087,0.579088471849866,0.6465028355387523,0.49639624,0.48724616
42,resnet50,blur,4.0,0.47,0.0,0.5984848484848485,0.5254237288135594,0.53031236,0.545388
42,resnet50,blur,8.0,0.42333333333333334,0.0,0.5311203319502075,0.4864864864864865,0.55744964,0.5898868
42,resnet50,mask_random,0.0,0.715,0.6826666666666666,0.6464646464646465,0.8065268065268065,0.66256225,0.537998
42,resnet50,mask_random,0.25,0.445,0.0,0.5649484536082474,0.5048543689320388,0.6475414,0.609533
42,resnet50,mask_random,0.5,0.3383333333333333,0.0,0.5025125628140703,0.029411764705882353,0.97092384,0.94610995
42,resnet50,mask_random,0.75,0.3433333333333333,0.0,0.5031928480204342,0.08294930875576037,0.8677133,0.79291826
42,resnet50,mask_centre,0.0,0.715,0.6826666666666666,0.6464646464646465,0.8065268065268065,0.66256225,0.537998
42,resnet50,mask_centre,0.3,0.55,0.009950248756218905,0.6036036036036037,0.7027027027027027,0.6043889,0.5089235
42,resnet50,mask_centre,0.5,0.465,0.0,0.5460030165912518,0.5816023738872403,0.5742203,0.5526484
42,resnet50,mask_centre,0.7,0.3333333333333333,0.0,0.5,0.0,0.6824583,0.6887804
42,resnet50,mask_edge,1.0,0.715,0.6826666666666666,0.6464646464646465,0.8065268065268065,0.66256225,0.537998
42,resnet50,mask_edge,0.7,0.3333333333333333,0.0,0.0,0.5,0.79437387,0.7476344
42,resnet50,mask_edge,0.5,0.3333333333333333,0.0,0.0,0.5,0.77979887,0.7838315
42,resnet50,mask_edge,0.3,0.32666666666666666,0.0,0.0,0.49370277078085645,0.5127183,0.51180285
42,vit_small_patch16_224,blur,0.0,0.7366666666666667,0.7180722891566265,0.647887323943662,0.827906976744186,0.78005666,0.66114086
42,vit_small_patch16_224,blur,1.0,0.6933333333333334,0.6893617021276596,0.5889212827988338,0.7906976744186046,0.7516113,0.63902014
42,vit_small_patch16_224,blur,2.0,0.6,0.6292134831460674,0.5485714285714286,0.6075949367088608,0.6792205,0.5802141
42,vit_small_patch16_224,blur,4.0,0.5166666666666667,0.2026431718061674,0.5707547169811321,0.604735883424408,0.54065907,0.48436543
42,vit_small_patch16_224,blur,8.0,0.38666666666666666,0.009950248756218905,0.5050847457627119,0.40097799511002447,0.5175546,0.49601203
42,vit_small_patch16_224,mask_random,0.0,0.7366666666666667,0.7180722891566265,0.647887323943662,0.827906976744186,0.78005666,0.66114086
42,vit_small_patch16_224,mask_random,0.25,0.4,0.4323040380047506,0.5146804835924007,0.0,0.51780915,0.4965658
42,vit_small_patch16_224,mask_random,0.5,0.35,0.1728395061728395,0.49933949801849403,0.0,0.5642286,0.54000837
42,vit_small_patch16_224,mask_random,0.75,0.3333333333333333,0.0,0.5,0.0,0.5180988,0.5230777
42,vit_small_patch16_224,mask_centre,0.0,0.7366666666666667,0.7180722891566265,0.647887323943662,0.827906976744186,0.78005666,0.66114086
42,vit_small_patch16_224,mask_centre,0.3,0.725,0.6878306878306878,0.65,0.8138528138528138,0.7549909,0.64253956
42,vit_small_patch16_224,mask_centre,0.5,0.675,0.573208722741433,0.630272952853598,0.7815126050420168,0.73406035,0.6028814
42,vit_small_patch16_224,mask_centre,0.7,0.67,0.5594855305466238,0.6273584905660378,0.7827956989247312,0.6441122,0.54478097
42,vit_small_patch16_224,mask_edge,1.0,0.7366666666666667,0.7180722891566265,0.647887323943662,0.827906976744186,0.78005666,0.66114086
