seed,model,mask_type,area_frac,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
42,vit_small_patch16_224,centre,0.3,0.6883333333333334,0.6790450928381963,0.6241457858769932,0.7708333333333334,0.7424745,0.6288199
42,vit_small_patch16_224,centre,0.4,0.62,0.5963855421686747,0.6030534351145038,0.6686046511627907,0.74337506,0.6345014
42,vit_small_patch16_224,centre,0.5,0.6216666666666667,0.5981873111782477,0.6037735849056604,0.672566371681416,0.7254333,0.6361931
42,vit_small_patch16_224,centre,0.6,0.52,0.4555160142348754,0.5616224648985959,0.4892086330935252,0.7291427,0.67476857
42,vit_small_patch16_224,centre,0.7,0.4766666666666667,0.3474903474903475,0.5481481481481482,0.42105263157894735,0.7008753,0.64568657
42,vit_small_patch16_224,edge,0.0,0.7366666666666667,0.7180722891566265,0.647887323943662,0.827906976744186,0.78005666,0.66114086
42,vit_small_patch16_224,edge,0.05,0.7233333333333334,0.7090464547677262,0.6318537859007833,0.8235294117647058,0.75741184,0.63708407
42,vit_small_patch16_224,edge,0.1,0.72,0.7159904534606205,0.6137566137566137,0.8238213399503722,0.75026774,0.63897985
42,vit_small_patch16_224,edge,0.15,0.7016666666666667,0.7053364269141531,0.5876010781671159,0.8040201005025126,0.75924546,0.6367204
42,vit_small_patch16_224,edge,0.2,0.6983333333333334,0.6984126984126984,0.5879120879120879,0.8,0.7661759,0.6430243
42,vit_small_patch16_224,edge,0.3,0.7066666666666667,0.6952141057934509,0.6407766990291263,0.7877237851662404,0.7551014,0.641301
42,vit_small_patch16_224,edge,0.4,0.6883333333333334,0.681592039800995,0.6153846153846154,0.774869109947644,0.73940974,0.62744457
42,vit_small_patch16_224,edge,0.5,0.6833333333333333,0.6577540106951871,0.6213151927437641,0.7792207792207793,0.7395091,0.63321686
42,vit_small_patch16_224,edge,0.6,0.6583333333333333,0.6306306306306306,0.6294820717131474,0.7232876712328767,0.7162834,0.63584894
42,vit_small_patch16_224,edge,0.7,0.615,0.5156794425087108,0.6186291739894552,0.6918604651162791,0.70041794,0.649928
43,resnet50,centre,0.0,0.6833333333333333,0.644808743169399,0.5817174515235457,0.7906976744186046,0.6556378,0.5623107
43,resnet50,centre,0.05,0.49,0.23376623376623376,0.558282208588957,0.5362776025236593,0.465866,0.4426639
43,resnet50,centre,0.1,0.3333333333333333,0.0,0.5,0.0,0.72414124,0.7146889
43,resnet50,centre,0.15,0.3383333333333333,0.49936305732484076,0.06511627906976744,0.0,0.54559124,0.5449813
43,resnet50,centre,0.2,0.3333333333333333,0.0,0.5,0.0,0.64515287,0.6495633
43,resnet50,centre,0.3,0.3333333333333333,0.0,0.5,0.0,0.99555284,0.99573326
