,precision,recall,f1-score,support
Immune,0.04524788118755489,0.10682930309610747,0.056577894452836286,0.0
Stromal,0.06546052702219597,0.04957317823178177,0.02311003268219755,0.0
Tumour,0.01451904032017866,0.04083503397819087,0.014227231869607145,0.0
accuracy,0.02382225849914319,0.02382225849914319,0.02382225849914319,0.02382225849914319
macro avg,0.02503932960368722,0.023822258499143222,0.02378987262610248,0.0
weighted avg,0.025039329603687183,0.02382225849914319,0.02378987262610248,0.0
