,precision,recall,f1-score,support
Immune,0.7170048902714924,0.575,0.6321036567449105,200.0
Stromal,0.6295317976595346,0.633,0.6279588849024179,200.0
Tumour,0.7613977064082805,0.8939999999999999,0.821812160237889,200.0
accuracy,0.7006666666666667,0.7006666666666667,0.7006666666666667,0.7006666666666667
macro avg,0.7026447981131024,0.7006666666666667,0.6939582339617392,600.0
weighted avg,0.7026447981131024,0.7006666666666667,0.6939582339617392,600.0
