epoch,train_loss,val_acc,seconds
1,1.0779454919270106,0.42,45.96254587173462
2,1.04067627679734,0.5733333333333334,40.183809757232666
3,0.9879534464790708,0.6133333333333333,40.90767693519592
4,0.937843782561166,0.64,38.85868716239929
5,0.9130817874272664,0.6633333333333333,38.80785012245178
6,0.8815655109995887,0.6766666666666666,38.745595932006836
7,0.8522839164733886,0.66,39.49985194206238
8,0.8257396519751776,0.67,38.54417896270752
9,0.7876980771337236,0.6866666666666666,39.206380128860474
10,0.763943657534463,0.69,38.956326961517334
