epoch,train_loss,val_acc,seconds
1,1.0458609331978692,0.6177777777777778,132.15725421905518
2,0.9040140516417368,0.67,128.78086280822754
3,0.7860206857560172,0.6888888888888889,121.33423590660095
4,0.7309262818760343,0.6833333333333333,119.96448111534119
5,0.7171477846493797,0.6922222222222222,118.90555191040039
6,0.6969459216556851,0.6955555555555556,115.33941292762756
7,0.6837356413735284,0.6988888888888889,117.0490791797638
8,0.6822098197255816,0.6944444444444444,117.3231110572815
9,0.6733534375069633,0.6944444444444444,123.02243304252625
10,0.6731033036443922,0.6977777777777778,114.93209719657898
