epoch,train_loss,val_acc,seconds
1,2.301159862001242,0.3016129032258065,155.41841101646423
2,2.038821501685706,0.29354838709677417,149.77820086479187
3,1.9304586137258934,0.30806451612903224,145.27932906150818
4,1.841881912608694,0.3096774193548387,147.55585718154907
5,1.7609060814766468,0.3225806451612903,151.79685306549072
6,1.6685101311016655,0.3370967741935484,153.13237690925598
7,1.572814436209482,0.3403225806451613,149.3543360233307
8,1.4572754672948751,0.34919354838709676,151.07784485816956
9,1.3371259705599359,0.3379032258064516,149.58662915229797
10,1.1937377979371777,0.33548387096774196,148.45721817016602
