,precision,recall,f1-score,support
Immune,0.02232963325976949,0.03798025802966584,0.02950616656240507,0.0
Stromal,0.027667076264170795,0.04751315607281841,0.02992828832797857,0.0
Tumour,0.02953776233236649,0.024849547279578377,0.01219799588682078,0.0
accuracy,0.014672347384715855,0.014672347384715855,0.014672347384715855,0.014672347384715855
macro avg,0.0158398740921733,0.014672347384715807,0.016969544617229885,0.0
weighted avg,0.015839874092173335,0.014672347384715855,0.01696954461722993,0.0
