,precision,recall,f1-score,support
Immune,0.7075290115679039,0.5860000000000001,0.6407408536394045,200.0
Stromal,0.6338211422234694,0.588,0.6090653744326813,200.0
Tumour,0.7263568294965939,0.901,0.8036387335715197,200.0
accuracy,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667
macro avg,0.6892356610959891,0.6916666666666667,0.6844816538812017,600.0
weighted avg,0.689235661095989,0.6916666666666667,0.6844816538812017,600.0
